BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
Cosi South Station,Hearthstone Associates,630 Atlantic,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,01/19/2007 04:24:18 PM,+16177199859,157660,"(42.352031, -71.055038)"
Cosmopolitan Lounge,,276 Bennington,East Boston,MA,02128,Active,FS,Eating & Drinking,10/25/2012 08:16:37 AM,+16175690131,14698,"(42.37881, -71.02906)"
Costello's Tavern Inc,,717 Centre,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,12/07/2006 01:33:55 PM,+16175229263,28177,"(42.31124, -71.11473)"
COTTAGE TAVERN,,1227 HYDE PARK ,HYDE PARK,MA,02136,Active,FS,Eating & Drinking,12/07/2006 01:34:13 PM,+16173649838,,"(42.3594, -71.0587)"
COUNTER POINT CAFE,,24 Fenway,Boston,MA,02215,Active,FS,Eating & Drinking,12/07/2006 01:34:48 PM,+10003255641,57434,"(42.34589, -71.09007)"
Country Kitchen,,830 Blue Hill,Dorchester,MA,02124,Active,FS,Eating & Drinking,01/30/2009 01:13:07 PM,+16172124413,16567,"(42.29621, -71.08718)"
Courtyard By Marriott,,225 William F McClellan,East Boston,MA,02128,Active,FS,Eating & Drinking,03/24/2009 02:22:24 PM,+16175695250,156607,"(42.387239, -71.016559)"
Courtyard By Marriott,,65R Boston,Dorchester,MA,02125,Active,FS,Eating & Drinking,05/01/2007 02:36:19 PM,+10000000000,17176,"(42.32815, -71.060075)"
COURTYARD CAFE,,200 LONGWOOD,BOSTON,MA,02115,Active,FS,Eating & Drinking,12/07/2006 01:36:23 PM,+16174326169,,"(42.3594, -71.0587)"
COURTYARD CAFE,,275 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:36:42 PM,+16174261400,158150,"(42.350032, -71.065531)"
COURTYARD MARRIOTT COPLEY,,88 Exeter,Boston,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:36:01 PM,+16174379300,157810,"(42.3486, -71.078818)"
CRANBERRY CAFE INC.,,704 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,12/07/2006 01:34:45 PM,+16172697462,158055,"(42.33579, -71.037238)"
Crazy Dough Pizza,,800 Boylston,Boston,MA,02199,Active,FT,Eating & Drinking w/ Take Out,08/07/2013 11:48:10 AM,+16178992202,157244,"(42.347296, -71.081457)"
Crazy Dough's Pizza,,2201 Commonwealth,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,05/05/2010 10:50:29 AM,+16172025769,156893,"(42.33975, -71.166398)"
Crazy Dough's Pizza,,8 Park,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,06/16/2009 10:42:20 AM,+16178992202,158173,"(42.351362, -71.06874)"
CRAZY DOUGH'S PIZZA COMPANY,,1124 Boylston,Boston,MA,02215,Active,FS,Eating & Drinking,12/07/2006 01:35:08 PM,+16178992202,158229,"(42.346743, -71.088918)"
CRISPY CREPES CAFE,,512 PARK,BOSTON,MA,02215,Active,FT,Eating & Drinking w/ Take Out,03/13/2007 03:21:42 PM,+16178599585,,"(42.3594, -71.0587)"
Crispy Dough Pizzeria,,1512 TREMONT,Mission Hill/,MA,02120,Active,FS,Eating & Drinking,09/25/2012 01:58:13 PM,+16174457799,0,"(42.3594, -71.0587)"
Cristelle's Restaurant,,5268 Washington,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,02/09/2008 02:25:03 PM,+16173278599,145684,"(42.25931, -71.1589)"
CROKE PARK,,268 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,12/07/2006 01:34:30 PM,+16172686205,155852,"(42.339275, -71.051191)"
Crossroads,,495 Beacon,Boston,MA,02115,Active,FS,Eating & Drinking,01/02/2014 11:02:58 AM,+18572335943,341117,"(42.350586, -71.08976)"
Crown Fried Chicken,,986 Blue Hill,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,01/12/2012 03:53:56 PM,+16174360077,16617,"(42.29004, -71.08925)"
Crown Fried Chicken and Pizza,,344 Warren,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,10/10/2007 09:07:24 AM,+10004451414,143259,"(42.31898, -71.08113)"
Crumbs Bakery Shop (Kiosk),,800 Boylston,Boston,MA,02199,Active,FT,Eating & Drinking w/ Take Out,11/27/2012 11:03:59 AM,+10000000000,157244,"(42.347296, -71.081457)"
Crush Pizza,,107 State,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,06/27/2013 12:43:03 PM,+16032359319,130368,"(42.35902, -71.054927)"
Crystal Restaurant,,14 LINDEN,ALLSTON,MA,02134,Active,FS,Eating & Drinking,12/07/2006 01:36:13 PM,+16172064820,,"(42.3594, -71.0587)"
Crystal/Gorage Lounge,,20 Linden,Allston,MA,02134,Active,FS,Eating & Drinking,01/27/2012 03:09:26 PM,+16172064820,167091,"(42.355486, -71.130715)"
CUPPACOFFEE,,1 Merrimac,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,09/27/2011 10:32:18 AM,+15089306297,342817,"(42.3594, -71.0587)"
Cure Lounge (basement at Wilbur Theatre),,246 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,10/22/2010 01:39:19 PM,+16172016996,157495,"(42.350688, -71.064668)"
Currito Burrito,,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,02128,Active,FT,Eating & Drinking w/ Take Out,12/20/2007 11:09:16 AM,+16175671112,,"(42.3594, -71.0587)"
D and D Restaurant,,3141 Washington,Jamaica Plain,MA,02130,Active,FT,Eating & Drinking w/ Take Out,02/07/2014 09:49:00 AM,+16175221111,144632,"(42.314156, -71.100215)"
D Coal Pot,,984 Hyde Park,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,07/01/2013 02:36:06 PM,+18573459512,166488,"(42.266054, -71.12084)"
Da Vinci,,162 COLUMBUS ,BOSTON,MA,02116,Active,FS,Eating & Drinking,10/30/2007 12:59:02 PM,+16173500007,,"(42.3594, -71.0587)"
DACOOPA SUB & PIZZA,,474 Saratoga,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:10 PM,+16175673399,122682,"(42.38014, -71.02729)"
Daily Catch,,319 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,12/07/2006 01:34:02 PM,+16177192588,69107,"(42.36408, -71.05395)"
Daisy Buchanans',,240 Newbury,Boston,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:34:07 PM,+16173531599,101453,"(42.3495, -71.08184)"
Damiano,,307 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,03/27/2008 09:26:17 AM,+10000000000,69105,"(42.36388, -71.05416)"
Dana Farber Cancer Institute Cafeteria,,450 Brookline,Boston,MA,02215,Active,FS,Eating & Drinking,07/22/2010 09:41:51 AM,+16176323186,,"(42.3594, -71.0587)"
D'ANGELO,,1345 HYDE PARK ,HYDE PARK,MA,02136,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:18 PM,+17814611200,,"(42.3594, -71.0587)"
D'ANGELO SANDWICH SHOP,,818 HARRISON ,BOSTON,MA,02115,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:49 PM,+10000000000,,"(42.3594, -71.0587)"
D'ANGELO/PAPA GINO'S,,200 Brookline,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:36 PM,+17814611200,157892,"(42.343633, -71.101981)"
