BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
# 7 RESTAURANT,,225 Grove,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,03/23/2007 03:20:59 PM,+10000000000,156965,"(42.261873, -71.15741)"
129 Lake Street Cafe,,127 LAKE,Brighton/,MA,02135,Active,FS,Eating & Drinking,10/14/2010 12:49:26 PM,+16175523307,0,"(42.3594, -71.0587)"
149 Eat Street,,300 CHELSEA,Charlestown/,MA,02129,Active,FS,Eating & Drinking,10/11/2007 09:08:52 AM,+16177262520,0,"(42.3594, -71.0587)"
163 Vietnamese Sandwich,,66 Harrison,BOSTON,MA,02111,Active,FS,Eating & Drinking,08/09/2007 01:26:45 PM,+16175427903,,"(42.3594, -71.0587)"
20TH CENTRY BOWLING LANES,,1231 Hyde Park,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:04 PM,+13392372645,77089,"(42.25682, -71.12411)"
21 ST. AMENDMENT,,150 Bowdoin,Boston,MA,02108,Active,FS,Eating & Drinking,12/07/2006 01:34:35 PM,+16172277100,158193,"(42.358336, -71.062581)"
224 BOSTON STREET,,224 Boston,Dorchester,MA,02125,Active,FS,Eating & Drinking,12/07/2006 01:35:12 PM,+16175136545,156048,"(42.322272, -71.060848)"
29 Newbury Street,,29 Newbury,Boston,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:34:07 PM,+16175360290,101524,"(42.35247, -71.07277)"
5 Napkin Burger,,101 Huntington,Boston/,MA,02199,Active,FS,Eating & Drinking,11/05/2010 11:35:09 AM,+16173752277,340845,"(42.346865, -71.080632)"
68 Chinese Fast Food,,48 Winter,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:53 PM,+16173382137,155968,"(42.355863, -71.061898)"
7 Pond Coffee Bar,,597 Centre,Jamaica Plain,MA,02130,Active,FT,Eating & Drinking w/ Take Out,08/15/2013 08:59:40 AM,+10000000000,28129,"(42.3149, -71.11427)"
73 Cafe,,73 Tremont,Boston,MA,02108,Active,FS,Eating & Drinking,06/25/2010 10:28:32 AM,+16172234408,322378,"(42.35788, -71.06082)"
75 CHESTNUT,,75 Chestnut,Boston,MA,02108,Active,FS,Eating & Drinking,12/07/2006 01:34:54 PM,+16172272175,31472,"(42.356898, -71.070971)"
75 On Liberty Wharf,,220 Northern,Boston,MA,02210,Active,FS,Eating & Drinking,05/18/2012 10:28:35 AM,+16178547631,342823,"(42.3594, -71.0587)"
99 RESTAURANT AND PUB,,29 Austin,Charlestown,MA,02129,Active,FS,Eating & Drinking,12/07/2006 01:34:27 PM,+16152568500,155829,"(42.374884, -71.067065)"
A & N PIZZA,,1409 Centre,Roslindale,MA,02131,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:14 PM,+16173232211,27566,"(42.29413, -71.13674)"
A @ Time,,417 Cambridge,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,11/19/2012 01:13:38 PM,+10000000000,25121,"(42.355123, -71.134062)"
A K's Take Out,,305 D,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,01/10/2008 11:12:29 AM,+16175923969,45493,"(42.339955, -71.049226)"
A K's Take Out & Delivery,,1427 Tremont,Mission Hill,MA,02120,Active,FT,Eating & Drinking w/ Take Out,10/31/2007 03:33:00 PM,+16175410300,136818,"(42.331858, -71.096333)"
A K's Take Out & Delivery@Reggie Lewis Track,,1350 Tremont,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,10/20/2008 09:21:08 AM,+1617,,"(42.3594, -71.0587)"
Abbott's Frozen Custard,,362 Washington,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,12/02/2010 10:46:36 AM,+15087350970,143525,"(42.348955, -71.153641)"
Abby Lane,,253 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,05/01/2012 02:10:49 PM,+17812548888,137467,"(42.35044, -71.06535)"
ABE & LOUIE'S,,793 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,04/04/2011 03:19:34 PM,+16175364200,18399,"(42.34924, -71.0816)"
ABIGAIL'S TEA ROOM @CONGRESS BRIDGE,,306 Congress,Boston,MA,02210,Active,FS,Eating & Drinking,01/17/2012 12:47:36 PM,+16177371773,,"(42.3594, -71.0587)"
Acapulco Mexican Restaurant,,466 CENTRE,JAMAICA PLAIN,MA,02130,Active,FS,Eating & Drinking,12/07/2006 01:34:15 PM,+16175244328,,"(42.3594, -71.0587)"
Adams B & B,,12 Edgerly,Boston,MA,02115,Active,FS,Eating & Drinking,12/07/2006 01:35:30 PM,+16172672262,51167,"(42.34606, -71.08786)"
Adams Bed & Breakfast Inc.,,12 EDGERLY,BOSTON,MA,02115,Active,FS,Eating & Drinking,12/07/2006 01:34:32 PM,+10002672262,,"(42.3594, -71.0587)"
Addis Red Sea,,540 Tremont,Roxbury,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:34:01 PM,+16174425588,137618,"(42.34405, -71.07097)"
Aer Lingus Lounge (2nd level),,500 LOGAN AIRPORT TRMNL E,EAST BOSTON,MA,02128,Active,FS,Eating & Drinking,04/01/2007 09:26:59 AM,+10000000000,,"(42.3594, -71.0587)"
AFC Sushi @ Shaw's #586,,4 River,Mattapan,MA,02108,Active,FT,Eating & Drinking w/ Take Out,03/06/2014 09:48:47 AM,+16172981462,169117,"(42.271841, -71.069999)"
AFC Sushi @ Suffolk University,,41 Temple,Boston,MA,02114,Active,FS,Eating & Drinking,09/03/2009 01:33:14 PM,+16173649375,134172,"(42.36, -71.06383)"
AFC Sushi @ Walgreens #15390,,10 School,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,04/24/2013 01:58:51 PM,+10000000000,169533,"(42.357327, -71.058968)"
AFC SUSHI @SIMMONS COLLEGE,,300 Fenway,Boston,MA,02115,Active,FS,Eating & Drinking,08/20/2010 10:13:45 AM,+16173649375,57444,"(42.33931, -71.09996)"
AFC SUSHI BAR @ UMASS BOSTON,,100 WM T MORRISSEY ,DORCHESTER,MA,02125,Active,FS,Eating & Drinking,12/07/2006 01:35:51 PM,+13106043200,,"(42.3594, -71.0587)"
AL CAPONE,,80 Summer,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:52 PM,+10000000000,132052,"(42.35402, -71.05813)"
AL DENTE RISTORANTE,,109 Salem,Boston,MA,02113,Active,FS,Eating & Drinking,12/07/2006 01:34:30 PM,+16175230990,121695,"(42.36421, -71.05536)"
Al Mercatino,,300 FANEUIL HALL MARKET,BOSTON,MA,02109,Active,FT,Eating & Drinking w/ Take Out,03/27/2007 12:39:53 PM,+16170,,"(42.3594, -71.0587)"
ALEX PIZZA,,1252 Washington,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:33 PM,+16178339626,157038,"(42.342301, -71.067378)"
ALEX'S CHIMIS,,358 CENTRE,JAMAICA PLAIN,MA,02130,Active,FS,Eating & Drinking,12/07/2006 01:35:02 PM,+16175225201,,"(42.3594, -71.0587)"
ALFREDO'S,,229 BRIGHTON ,ALLSTON,MA,02134,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:52 PM,+16175628222,,"(42.3594, -71.0587)"
ALFREDO'S ITALIAN KITCHEN,,243 Dorchester,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:02 PM,+16174581231,156257,"(42.332855, -71.051318)"
ALGONQUIN CLUB OF BOSTON,,217 COMMONWEALTH ,BOSTON,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:34:11 PM,+16172662400,,"(42.3594, -71.0587)"
ALI ROTI RESTAURANT,,1035 Tremont,Mission Hill,MA,02120,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:58 PM,+16172989850,136793,"(42.33666, -71.08563)"
Alibi,,215 Charles,Boston,MA,02114,Active,FS,Eating & Drinking,12/14/2011 08:20:31 AM,+18572411144,160740,"(42.36203, -71.070362)"
ALLIS ROTI + MEAT MARKET,,1188 Blue Hill,Mattapan,MA,02126,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:12 PM,+16172989850,16183,"(42.28377, -71.09129)"
Allston Diner,,417 Cambridge,Allston,MA,02134,Active,FS,Eating & Drinking,01/23/2012 09:21:55 AM,+16172088741,25121,"(42.355123, -71.134062)"
AL'S PIZZA AND GRILL,,402 Broadway,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,07/12/2012 02:18:02 PM,+16172687700,156047,"(42.337287, -71.04805)"
Al's South St. Express,,179 Essex,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,12/13/2007 10:39:20 AM,+10000000000,54296,"(42.352051, -71.057585)"
AL'S STATE ST. CAFE,,112 STATE,BOSTON,MA,02109,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:40 PM,+16177205555,,"(42.3594, -71.0587)"
Al-Wadi Restaurant,,1249 VFW,West Roxbury,MA,02132,Active,FS,Eating & Drinking,07/28/2010 08:29:14 AM,+16173233236,140286,"(42.27724, -71.17261)"
AMC Theatres Boston Common 19,,175 Tremont,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:25 PM,+18164805862,137447,"(42.35315, -71.06403)"
Amelia's Taqueria,,180 Brighton,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,04/04/2013 01:29:03 PM,+16177877672,156787,"(42.353014, -71.133631)"
American Bakers,,39 First,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,02/14/2008 08:17:21 AM,+16179099937,58337,"(42.37556, -71.053919)"
Americano Espresso Bar,,155 Meridian,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,02/13/2007 08:24:51 AM,+16175938079,94405,"(42.373853, -71.038885)"
AMES PLOW TAVERN,,200 Faneuil Hall Market,Boston,MA,02109,Active,FS,Eating & Drinking,04/17/2007 10:09:29 AM,+10000000000,,"(42.3594, -71.0587)"
Amici,,111 Washington,Boston,MA,02113,Active,FS,Eating & Drinking,11/01/2012 08:39:33 AM,+16177422998,340052,"(42.365582, -71.058131)"
AMRHEIN'S,,80 BROADWAY,SOUTH BOSTON,MA,02127,Active,FS,Eating & Drinking,12/07/2006 01:34:09 PM,+16172686189,,"(42.3594, -71.0587)"
AMSTERDAM CAFE,,483 Broadway,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,12/13/2012 08:26:59 AM,+16174646488,156388,"(42.335274, -71.04559)"
AN TAIN,,31 India,Boston,MA,02110,Active,FS,Eating & Drinking,12/07/2006 01:35:04 PM,+17815368136,78051,"(42.35823, -71.05315)"
ANCHOVIES RESTAURANT,,433 COLUMBUS ,BOSTON,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:36:42 PM,+16178727232,,"(42.3594, -71.0587)"
Ancient & Honorable Artillery Company,,200 Faneuil Hall Market,Boston,MA,02109,Active,FS,Eating & Drinking,03/24/2007 11:32:37 AM,+16172271638,,"(42.3594, -71.0587)"
Andalus Pizza & Cafe,,153 SUTHERLAND,BRIGHTON,MA,02135,Active,FT,Eating & Drinking w/ Take Out,08/17/2007 09:15:12 AM,+16179084750,,"(42.3594, -71.0587)"
Andre's Cafe,,811 Harrison,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,01/13/2010 08:27:38 AM,+16172679599,157657,"(42.335768, -71.074298)"
ANDREW SQUARE HOUSE OF PIZZA,,395 Dorchester,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:34 PM,+16172681940,49085,"(42.33003, -71.05655)"
Angela's Cafe,,131 Lexington,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,08/02/2007 01:36:55 PM,+10000000000,85525,"(42.37853, -71.035)"
ANH HONG RESTAURANT  LLC,,291 Adams,Dorchester,MA,02122,Active,FS,Eating & Drinking,12/07/2006 01:36:10 PM,+16172658889,156283,"(42.299183, -71.05818)"
Anna Hand Cut Donuts,,2056 Centre,West Roxbury,MA,02132,Active,FS,Eating & Drinking,12/07/2006 01:33:55 PM,+16173232680,157110,"(42.280014, -71.158191)"
Annabelle's Restaurant,,1300 Hyde Park,Hyde Park,MA,02136,Active,FS,Eating & Drinking,11/18/2010 09:12:51 AM,+16179109254,77099,"(42.254144, -71.124084)"
Anna's Taqueria,,242 Cambridge,Boston,MA,02114,Active,FS,Eating & Drinking,06/09/2008 01:08:50 PM,+16172278822,25260,"(42.36093, -71.0671)"
Another Cup? Coffee House,,   , ,MA,,Active,FS,Eating & Drinking,03/15/2012 12:55:53 PM,+10000000000,,"(42.3594, -71.0587)"
Anshur Restauruant,,291 Roxbury,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,09/29/2008 01:44:43 PM,+16174270599,119179,"(42.33041, -71.0943)"
Anthem,,100-199 Faneuil Hall Market,Boston,MA,02109,Active,FS,Eating & Drinking,04/28/2010 08:44:19 AM,+16177206670,,"(42.3594, -71.0587)"
ANTHONY'S CAFE,,252 Commercial,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:38 PM,+16177422987,36256,"(42.36399, -71.05137)"
ANTICO FORNO,,93 Salem,Boston,MA,02113,Active,FS,Eating & Drinking,12/07/2006 01:34:46 PM,+16177428441,157423,"(42.363742, -71.055591)"
Antojitos Dominicanos Y Mas,,379 Blue Hill,Dorchester,MA,02121,Active,FT,Eating & Drinking w/ Take Out,10/09/2013 01:50:36 PM,+16174451826,16439,"(42.31175, -71.08108)"
ANTONIO'S ITALIANO CUCINA,,286 Cambridge,Boston,MA,02114,Active,FS,Eating & Drinking,12/07/2006 01:34:35 PM,+16173673310,25272,"(42.360951, -71.06816)"
APPLEBEE'S NEIGHBORHOOD GRILL,,11A Allstate,Dorchester,MA,02125,Active,FS,Eating & Drinking,10/25/2011 02:06:55 PM,+16174427139,172685,"(42.326047, -71.063611)"
APPLEBEE'S NEIGHBORHOOD GRILL,,379 CHESTNUT HILL,Brighton,MA,02135,Active,FS,Eating & Drinking,10/25/2011 02:11:34 PM,+16174427139,0,"(42.3594, -71.0587)"
Appleton Bakery & Cafe,,75 Dartmouth,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,01/17/2013 01:28:31 PM,+16178598222,222473,"(42.345259, -71.074714)"
AQUITAINE,,569 Tremont,Roxbury,MA,02118,Active,FS,Eating & Drinking,12/07/2006 01:34:59 PM,+10004829825,157437,"(42.343801, -71.07235)"
ARAMARK @ BROWNE BROS.HARRIMAN,,40 Water,Boston,MA,02109,Active,FS,Eating & Drinking,12/07/2006 01:36:28 PM,+16177721818,156337,"(42.357737, -71.05678)"
ARAMARK @ SULLIVAN & WORCESTER,,1 Post Office,Boston,MA,02109,Active,FS,Eating & Drinking,12/07/2006 01:35:41 PM,+15082231929,158388,"(42.356797, -71.054981)"
Aramark at Houghton Mifflin,,222 Berkeley,Boston,MA,02116,Active,FS,Eating & Drinking,01/10/2007 10:18:56 AM,+16173513020,15007,"(42.35084, -71.07311)"
Arboretum Grill,,4021 Washington,Roslindale,MA,02131,Active,FS,Eating & Drinking,10/14/2011 08:30:39 AM,+16173239100,145067,"(42.29201, -71.12244)"
ARC,,835 Beacon,Boston,MA,02115,Active,FS,Eating & Drinking,12/07/2006 01:35:54 PM,+18573503799,156223,"(42.347012, -71.102881)"
ARCHIE'S NEW YORK DELI,,93 Arch,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:36 PM,+16173305145,161605,"(42.355042, -71.059128)"
Archie's Place,,227 Washington,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,02/19/2013 10:28:29 AM,+16177233354,171030,"(42.357884, -71.058215)"
Aria Trattoria,,253 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,02/01/2013 01:42:43 PM,+16177421276,69071,"(42.363223, -71.054789)"
Ariana Restaurant,Ariana Cuisine of Afghanistan,127 Brighton,Allston,MA,02134,Active,FS,Eating & Drinking,04/15/2010 12:57:58 PM,+10000000000,20071,"(42.353242, -71.131192)"
ARIS BARBEQUE,,200 FANEUIL HALL MARKET,BOSTON,MA,02109,Active,FT,Eating & Drinking w/ Take Out,04/12/2007 10:00:27 AM,+16177422947,,"(42.3594, -71.0587)"
Arizona B B Q,,2360 Washington,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,03/04/2008 02:08:38 PM,+16174422999,144493,"(42.32937, -71.08446)"
ARTU,,6 PRINCE,BOSTON,MA,02113,Active,FS,Eating & Drinking,12/07/2006 01:34:23 PM,+16177424336,,"(42.3594, -71.0587)"
ARTU,,89 Charles,Boston,MA,02114,Active,FS,Eating & Drinking,12/07/2006 01:34:40 PM,+16177424336,29200,"(42.35859, -71.07049)"
ASAKI,,418 Market,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:34 PM,+16175626333,158260,"(42.349342, -71.153159)"
Ashburton Cafe,,1 Ashburton,Boston,MA,02114,Active,FS,Eating & Drinking,04/06/2007 01:51:49 PM,+16177994625,5052,"(42.359276, -71.062359)"
ASHLEY'S BREAKFAST SHOPPE,,260 Bowdoin,Dorchester,MA,02122,Active,FS,Eating & Drinking,12/07/2006 01:34:44 PM,+16174361577,17699,"(42.30678, -71.0667)"
ASHMONT GRILL,,555 Talbot,Dorchester,MA,02124,Active,FS,Eating & Drinking,12/07/2006 01:36:25 PM,+18254300000,156895,"(42.286091, -71.064728)"
Asia Wok,,44 Harvard,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,12/03/2007 09:44:52 AM,+16172545445,70391,"(42.354462, -71.13227)"
ASIAN GARDEN RESTAURANT INC.,,28 HARRISON ,BOSTON,MA,02111,Active,FS,Eating & Drinking,12/07/2006 01:35:32 PM,+16174263348,,"(42.3594, -71.0587)"
Asian House,,99 Cambridge,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,09/05/2013 09:04:41 AM,+17818546253,201093,"(42.38254, -71.0792)"
ASIAN THAI EATERY INC.,,1064 River,Hyde Park,MA,02136,Active,FS,Eating & Drinking,12/07/2006 01:36:17 PM,+16173614448,158305,"(42.258784, -71.117741)"
Asian Too Express,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,02128,Active,FT,Eating & Drinking w/ Take Out,04/18/2008 01:37:08 PM,+16175617180,,"(42.3594, -71.0587)"
ASSAGGIO RESTAURANT,,25 Prince,Boston,MA,02113,Active,FS,Eating & Drinking,12/07/2006 01:34:47 PM,+10003958805,112883,"(42.364563, -71.05416)"
Asta,,47 Massachusetts,Boston,MA,02115,Active,FS,Eating & Drinking,08/29/2012 10:49:31 AM,+16178234664,156452,"(42.349818, -71.089268)"
At Union,,174 HARVARD ,BOSTON,MA,02134,Active,FS,Eating & Drinking,07/10/2009 09:05:04 AM,+16172444909,,"(42.3594, -71.0587)"
Athan's European Bakery,,407 WASHINGTON,BRIGHTON,MA,02135,Active,FS,Eating & Drinking,12/07/2006 01:36:26 PM,+16177830313,,"(42.3594, -71.0587)"
Atlantic Beer Garden,,146 NORTHERN ,SOUTH BOSTON,MA,02210,Active,FS,Eating & Drinking,10/06/2008 01:36:25 PM,+16173578000,,"(42.3594, -71.0587)"
ATLANTIC FISH COMPANY,,761 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,04/04/2011 02:50:20 PM,+16175364200,18393,"(42.34935, -71.08121)"
ATRIUM CAFE/HARVARD MED.SCHOOL,,260 Longwood,Boston,MA,02115,Active,FS,Eating & Drinking,12/07/2006 01:36:23 PM,+16174326169,157056,"(42.336981, -71.10415)"
Au Bon Pain,,101 Merrimac,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:17 PM,+16178975079,94693,"(42.36384, -71.06166)"
Au Bon Pain,,133 Brookline,Boston,MA,02215,Active,FS,Eating & Drinking,03/21/2014 11:27:06 AM,+16174232100,352517,"(42.3594, -71.0587)"
Au Bon Pain,,17 Blackfan,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:49 PM,+16178975079,153922,"(42.337388, -71.106281)"
Au Bon Pain,,17 Blackfan,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,02/10/2014 10:02:22 AM,+16175616020,153922,"(42.337388, -71.106281)"
Au Bon Pain,,26 PARK PLAZA,BOSTON,MA,02110,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:06 PM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain,,310 Congress,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,03/31/2007 10:36:37 AM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain,,360 HUNTINGTON ,BOSTON,MA,02115,Active,FS,Eating & Drinking,12/07/2006 01:34:49 PM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain,,431 Boylston,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:20 PM,+16178975079,18327,"(42.35161, -71.07284)"
Au Bon Pain,,53 State,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:34 PM,+16178975079,157026,"(42.35875, -71.056199)"
Au Bon Pain,,75 FRANCIS,Boston,MA,02115,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:01 PM,+16178975079,158148,"(42.336106, -71.10748)"
Au Bon Pain,,800 Washington,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,03/19/2014 01:52:30 PM,+16178975072,145764,"(42.349591, -71.063586)"
Au Bon Pain # 518,,1 DESIGN CENTER,BOSTON,MA,02127,Active,FS,Eating & Drinking,12/07/2006 01:34:51 PM,+16178975079,,"(42.3594, -71.0587)"
AU BON PAIN (4TH FL),,133 BROOKLINE,BOSTON,MA,02215,Active,FT,Eating & Drinking w/ Take Out,04/02/2007 10:01:26 AM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Cambridge St.),,209 Cambridge,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:41 PM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Food Court U S Air),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,02128,Active,FT,Eating & Drinking w/ Take Out,11/05/2007 09:00:18 AM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Joslin Pl.),,1 Joslin,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,05/10/2012 11:20:36 AM,+16174232100,166640,"(42.3386, -71.108501)"
Au Bon Pain (Space 31),,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,02128,Active,FT,Eating & Drinking w/ Take Out,05/21/2007 12:55:37 PM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Space 49),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,02128,Active,FT,Eating & Drinking w/ Take Out,01/17/2008 09:52:30 AM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (Space 58),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,02128,Active,FT,Eating & Drinking w/ Take Out,01/17/2008 10:30:41 AM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain (US Airways),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,02128,Active,FT,Eating & Drinking w/ Take Out,05/21/2007 01:20:49 PM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain Kiosk (1st Fl.),,53 State,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,04/05/2013 10:46:41 AM,+16177238483,157026,"(42.35875, -71.056199)"
Au Bon Pain Kiosk@Childrens Museum,,308 Congress,Boston,MA,02210,Active,FS,Eating & Drinking,05/07/2013 08:20:55 AM,+16178975079,163839,"(42.351967, -71.049777)"
Au Bon Pain Outdoor Cafe,,310 Congress,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,06/08/2007 11:46:16 AM,+16178975079,341039,"(42.355105, -71.049245)"
Au Bon Pain Store # 41,,800 BOYLSTON,BOSTON,MA,02199,Active,FS,Eating & Drinking,12/07/2006 01:34:13 PM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain Store # 44,,90 OLIVER,BOSTON,MA,02110,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:13 PM,+16178975079,,"(42.3594, -71.0587)"
Au Bon Pain Store 511,,640 Atlantic,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:13 PM,+16178975079,156474,"(42.350021, -71.055941)"
Audubon,,838 Beacon,Boston,MA,02215,Active,FS,Eating & Drinking,04/01/2014 12:57:14 PM,+16174211910,12259,"(42.34741, -71.10321)"
AUNTIE ANNE'S (#MA 110),,700 Atlantic,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:47 PM,+16173309799,156723,"(42.3594, -71.0587)"
Auntie Anne's (Trmnl B  Gate A 18),,200 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,09/09/2011 09:03:26 AM,+16176246006,341353,"(42.3594, -71.0587)"
AUNTIE VIE'S BAKERY & CAFE,,480 Washington,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,03/11/2013 10:30:19 AM,+19788213519,146092,"(42.29469, -71.07168)"
Aurum,,377 Centre,Jamaica Plain,MA,02130,Active,FS,Eating & Drinking,01/02/2014 11:26:18 AM,+16175223377,343460,"(42.322376, -71.109129)"
Avana Express Bar,,40 Harrison,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,05/13/2013 02:02:15 PM,+19173531653,340723,"(42.351624, -71.061017)"
Avana Market Place,,40 Harrison,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,04/03/2009 10:23:20 AM,+16174263331,69834,"(42.351664, -71.060968)"
Azama Grill,,44 Harvard,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,12/30/2009 08:22:42 AM,+16174477646,70391,"(42.354462, -71.13227)"
B & G OYSTERS LTD.,,550 Tremont,Roxbury,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:35:51 PM,+16174230550,137629,"(42.343895, -71.071263)"
B C High School (Faculty Food Serv.),,150 William T Morrissey,Dorchester,MA,02125,Active,FS,Eating & Drinking,10/27/2009 02:58:15 PM,+16174363900,157575,"(42.316565, -71.046878)"
B Good Burger,,1068 Boylston,Boston,MA,02215,Active,FS,Eating & Drinking,01/07/2010 02:41:21 PM,+15088782766,162425,"(42.346999, -71.087817)"
B Good Burger,,227 Washington,Boston,MA,02108,Active,FS,Eating & Drinking,04/15/2010 01:11:48 PM,+15088782766,171030,"(42.357884, -71.058215)"
B I DEACONESS/WEST END CAFE,,1 DEACONESS,BOSTON,MA,02215,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:29 PM,+10006675634,,"(42.3594, -71.0587)"
B U-100 Baystate Dining Cafe/Multi Purpose,,100 Bay State,Boston,MA,02215,Active,FS,Eating & Drinking,09/20/2011 02:52:39 PM,+16173532990,342937,"(42.3594, -71.0587)"
B. Good,,131 Dartmouth,Boston,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:35:56 PM,+16174245252,46311,"(42.34682, -71.07543)"
B. Good,,84 Summer,Boston,MA,02110,Active,FS,Eating & Drinking,04/27/2012 02:14:41 PM,+15088782766,155814,"(42.353955, -71.05802)"
B. U. Einsteins Bagels,,685 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:57 PM,+16173532947,157907,"(42.350117, -71.104278)"
